"Certificate Title","Link","State"
"Gujarat, Collectorate - District Navsari: issuing domicile certificate","https://services.india.gov.in/service/service_url_redirect?id=MTM2MTA=","Pan India"
"Gujarat, Collectorate - District Navsari: Obtaining certificates for Scheduled Castes and Scheduled Tribes","https://services.india.gov.in/service/service_url_redirect?id=MTM2MDY=","Pan India"
"Gujarat, Collectorate - District Navsari: Certification for socially and educationally backward classes","https://services.india.gov.in/service/service_url_redirect?id=MTM2MDQ=","Pan India"
"Gujarat, Collectorate - District Porbandar: issuing domicile certificate","https://services.india.gov.in/service/service_url_redirect?id=MTMwNzU=","Pan India"
"Gujarat, Collectorate - District Porbandar: Obtaining certificates for Scheduled Castes and Scheduled Tribes","https://services.india.gov.in/service/service_url_redirect?id=MTMwNzE=","Pan India"
"Gujarat, Collectorate - District Porbandar: Certification for socially and educationally backward classes","https://services.india.gov.in/service/service_url_redirect?id=MTMwNjk=","Pan India"
"Gujarat, Collectorate - District Morbi: Obtaining certificates for Scheduled Castes and Scheduled Tribes","https://services.india.gov.in/service/service_url_redirect?id=MTI4NTM=","Pan India"
"Gujarat, Collectorate - District Morbi: issuing domicile certificate","https://services.india.gov.in/service/service_url_redirect?id=MTI4NTc=","Pan India"
"Gujarat, Collectorate - District Morbi: Certification for socially and educationally backward classes","https://services.india.gov.in/service/service_url_redirect?id=MTI4NTQ=","Pan India"
"Gujarat, Collectorate - District Anand: issuing domicile certificate","https://services.india.gov.in/service/service_url_redirect?id=MTI4NDE=","Pan India"
"Gujarat, Collectorate - District Anand: Obtaining certificates for Scheduled Castes and Scheduled Tribes","https://services.india.gov.in/service/service_url_redirect?id=MTI4NDU=","Pan India"
"Gujarat, Collectorate - District Anand: Certification for socially and educationally backward classes","https://services.india.gov.in/service/service_url_redirect?id=MTI4NDA=","Pan India"
"Gujarat, Collectorate - District Kheda: issuing domicile certificate","https://services.india.gov.in/service/service_url_redirect?id=MTI4MTM=","Pan India"
"Gujarat, Collectorate - District Kheda: Obtaining certificates for Scheduled Castes and Scheduled Tribes","https://services.india.gov.in/service/service_url_redirect?id=MTI4MTU=","Pan India"
"Gujarat, Collectorate - District Kheda: Certification for socially and educationally backward classes","https://services.india.gov.in/service/service_url_redirect?id=MTI4MTI=","Pan India"
"Gujarat, Collectorate - District Bhavnagar: issuing domicile certificate","https://services.india.gov.in/service/service_url_redirect?id=MTI4MDE=","Pan India"
